id	plan_id	feature_key	enabled	limit_value	created_at
1	1	admin.users.max	1	2	NULL
2	1	member.portal	0	NULL	NULL
3	1	reports.advanced	0	NULL	NULL
4	1	import.excel	1	NULL	NULL
5	1	finance.multi_currency	0	NULL	NULL
6	1	family.tree	1	NULL	NULL
7	2	admin.users.max	1	5	NULL
8	2	member.portal	1	NULL	NULL
9	2	reports.advanced	0	NULL	NULL
10	2	import.excel	1	NULL	NULL
11	2	finance.multi_currency	1	NULL	NULL
12	2	family.tree	1	NULL	NULL
13	3	admin.users.max	1	NULL	NULL
14	3	member.portal	1	NULL	NULL
15	3	reports.advanced	1	NULL	NULL
16	3	import.excel	1	NULL	NULL
17	3	finance.multi_currency	1	NULL	NULL
18	3	family.tree	1	NULL	NULL
19	4	admin.users.max	1	1	NULL
20	4	member.portal	0	NULL	NULL
21	4	reports.advanced	0	NULL	NULL
22	4	import.excel	0	NULL	NULL
23	4	finance.multi_currency	0	NULL	NULL
24	4	family.tree	0	NULL	NULL
25	4	members.max	1	20	NULL
26	1	members.max	1	NULL	NULL
27	2	members.max	1	NULL	NULL
28	3	members.max	1	NULL	NULL
