id	role_id	permission_id	created_at
1	1	1	NULL
2	1	2	NULL
3	1	3	NULL
4	1	4	NULL
5	1	5	NULL
6	1	6	NULL
7	1	7	NULL
8	1	8	NULL
9	1	9	NULL
10	1	10	NULL
11	1	14	NULL
12	1	15	NULL
13	1	16	NULL
14	1	17	NULL
15	1	18	NULL
16	1	19	NULL
17	1	21	NULL
18	1	22	NULL
19	2	1	NULL
20	2	6	NULL
21	2	15	NULL
22	2	16	NULL
23	3	1	NULL
24	3	2	NULL
25	3	8	NULL
26	3	9	NULL
27	3	10	NULL
28	3	17	NULL
29	3	18	NULL
30	3	21	NULL
31	3	22	NULL
32	4	1	NULL
33	4	2	NULL
34	4	6	NULL
35	1	26	NULL
36	1	27	NULL
37	1	28	NULL
38	1	29	NULL
39	1	30	NULL
40	1	31	NULL
41	3	26	NULL
42	3	27	NULL
43	3	28	NULL
44	3	29	NULL
45	3	30	NULL
46	3	31	NULL
47	2	2	NULL
48	4	3	NULL
49	2	3	NULL
50	3	3	NULL
51	4	4	NULL
52	2	4	NULL
53	3	4	NULL
54	4	5	NULL
55	2	5	NULL
56	3	5	NULL
57	3	6	NULL
58	4	7	NULL
59	2	7	NULL
60	3	7	NULL
61	4	8	NULL
62	2	8	NULL
63	4	9	NULL
64	2	9	NULL
65	4	10	NULL
66	2	10	NULL
67	1	11	NULL
68	4	11	NULL
69	2	11	NULL
70	3	11	NULL
71	1	12	NULL
72	4	12	NULL
73	2	12	NULL
74	3	12	NULL
75	1	13	NULL
76	4	13	NULL
77	2	13	NULL
78	3	13	NULL
79	4	14	NULL
80	2	14	NULL
81	3	14	NULL
82	4	15	NULL
83	3	15	NULL
84	4	16	NULL
85	3	16	NULL
86	4	17	NULL
87	2	17	NULL
88	4	18	NULL
89	2	18	NULL
90	4	19	NULL
91	2	19	NULL
92	3	19	NULL
93	4	21	NULL
94	2	21	NULL
95	4	22	NULL
96	2	22	NULL
97	1	23	NULL
98	4	23	NULL
99	2	23	NULL
100	3	23	NULL
101	1	24	NULL
102	4	24	NULL
103	2	24	NULL
104	3	24	NULL
105	1	25	NULL
106	4	25	NULL
107	2	25	NULL
108	3	25	NULL
109	4	26	NULL
110	2	26	NULL
111	4	27	NULL
112	2	27	NULL
113	4	28	NULL
114	2	28	NULL
115	4	29	NULL
116	2	29	NULL
117	4	30	NULL
118	2	30	NULL
119	4	31	NULL
120	2	31	NULL
121	1	32	NULL
122	4	32	NULL
123	2	32	NULL
124	3	32	NULL
125	1	33	NULL
126	4	33	NULL
127	2	33	NULL
128	3	33	NULL
129	1	34	NULL
130	4	34	NULL
131	2	34	NULL
132	3	34	NULL
174	1	35	NULL
175	4	35	NULL
176	2	35	NULL
177	3	35	NULL
178	1	36	NULL
179	4	36	NULL
180	2	36	NULL
181	3	36	NULL
