id	role_id	permission_id	created_at
1	1	1	NULL
2	1	2	NULL
3	1	3	NULL
4	1	4	NULL
5	1	5	NULL
6	1	6	NULL
7	1	7	NULL
8	1	8	NULL
9	1	9	NULL
10	1	10	NULL
11	1	14	NULL
12	1	15	NULL
13	1	16	NULL
14	1	17	NULL
15	1	18	NULL
16	1	19	NULL
17	1	21	NULL
18	1	22	NULL
23	3	1	NULL
24	3	2	NULL
25	3	8	NULL
26	3	9	NULL
27	3	10	NULL
28	3	17	NULL
29	3	18	NULL
30	3	21	NULL
31	3	22	NULL
32	4	1	NULL
33	4	2	NULL
34	4	6	NULL
35	5	1	NULL
36	5	2	NULL
37	5	3	NULL
38	5	4	NULL
39	5	5	NULL
40	5	6	NULL
41	5	7	NULL
42	5	8	NULL
43	5	9	NULL
44	5	10	NULL
45	5	11	NULL
46	5	12	NULL
47	5	13	NULL
48	5	14	NULL
49	5	15	NULL
50	5	16	NULL
51	5	17	NULL
52	5	18	NULL
53	5	23	NULL
54	5	19	NULL
55	5	20	NULL
56	5	21	NULL
57	5	22	NULL
58	5	24	NULL
59	5	25	NULL
60	1	26	NULL
61	1	27	NULL
62	1	28	NULL
63	1	29	NULL
64	1	32	NULL
65	1	33	NULL
66	1	34	NULL
67	3	26	NULL
68	3	27	NULL
69	3	28	NULL
70	3	29	NULL
71	3	32	NULL
72	5	26	NULL
73	5	27	NULL
74	5	28	NULL
75	5	29	NULL
76	5	30	NULL
77	5	31	NULL
78	5	32	NULL
79	5	33	NULL
80	5	34	NULL
81	1	35	NULL
82	1	36	NULL
83	5	35	NULL
84	5	36	NULL
85	1	37	NULL
86	1	38	NULL
87	1	39	NULL
88	1	40	NULL
89	1	41	NULL
90	2	1	NULL
91	2	16	NULL
92	2	17	NULL
93	2	6	NULL
94	2	15	NULL
